Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,k
NaiveBayes,0.23 (0.07-0.31) ± 0.11,0.48 (0.47-0.49) ± 0.01,0.40 (0.34-0.44) ± 0.04,0.19 (0.07-0.25) ± 0.08,0.40 (0.34-0.44) ± 0.04,0.32 (0.20-0.38) ± 0.07,0.23 (0.07-0.31) ± 0.11,0.21 (0.15-0.28) ± 0.04,100.0
LogisticRegression,0.95 (0.92-0.97) ± 0.02,0.60 (0.57-0.67) ± 0.04,0.67 (0.58-0.73) ± 0.06,0.62 (0.58-0.66) ± 0.03,0.67 (0.58-0.73) ± 0.06,0.60 (0.44-0.69) ± 0.11,0.95 (0.92-0.97) ± 0.02,0.21 (0.13-0.28) ± 0.06,100.0
LightGBM,0.94 (0.92-0.96) ± 0.02,0.58 (0.56-0.61) ± 0.02,0.67 (0.57-0.75) ± 0.06,0.60 (0.57-0.63) ± 0.03,0.67 (0.57-0.75) ± 0.06,0.60 (0.40-0.72) ± 0.12,0.94 (0.92-0.96) ± 0.02,0.27 (0.10-0.37) ± 0.10,100.0
NaiveBayes,0.36 (0.30-0.42) ± 0.05,0.49 (0.49-0.49) ± 0.00,0.40 (0.37-0.45) ± 0.04,0.28 (0.25-0.31) ± 0.02,0.40 (0.37-0.45) ± 0.04,0.39 (0.36-0.43) ± 0.03,0.36 (0.30-0.42) ± 0.05,0.23 (0.15-0.28) ± 0.05,200.0
LogisticRegression,0.95 (0.95-0.96) ± 0.00,0.62 (0.61-0.64) ± 0.02,0.72 (0.67-0.78) ± 0.04,0.66 (0.63-0.69) ± 0.02,0.72 (0.67-0.78) ± 0.04,0.68 (0.59-0.76) ± 0.06,0.95 (0.95-0.96) ± 0.00,0.30 (0.23-0.37) ± 0.06,200.0
LightGBM,0.94 (0.94-0.95) ± 0.00,0.59 (0.56-0.60) ± 0.02,0.68 (0.61-0.74) ± 0.05,0.61 (0.58-0.64) ± 0.02,0.68 (0.61-0.74) ± 0.05,0.61 (0.49-0.71) ± 0.08,0.94 (0.94-0.95) ± 0.00,0.27 (0.18-0.35) ± 0.07,200.0
NaiveBayes,0.36 (0.28-0.40) ± 0.05,0.49 (0.48-0.50) ± 0.01,0.41 (0.36-0.51) ± 0.06,0.28 (0.24-0.30) ± 0.03,0.41 (0.36-0.51) ± 0.06,0.40 (0.36-0.45) ± 0.04,0.36 (0.28-0.40) ± 0.05,0.23 (0.16-0.29) ± 0.06,300.0
LogisticRegression,0.96 (0.96-0.96) ± 0.00,0.65 (0.64-0.66) ± 0.01,0.72 (0.68-0.74) ± 0.02,0.68 (0.67-0.69) ± 0.01,0.72 (0.68-0.74) ± 0.02,0.67 (0.62-0.71) ± 0.04,0.96 (0.96-0.96) ± 0.00,0.36 (0.27-0.45) ± 0.07,300.0
LightGBM,0.95 (0.95-0.96) ± 0.00,0.61 (0.59-0.65) ± 0.02,0.69 (0.62-0.75) ± 0.04,0.64 (0.60-0.67) ± 0.03,0.69 (0.62-0.75) ± 0.04,0.62 (0.52-0.71) ± 0.07,0.95 (0.95-0.96) ± 0.00,0.28 (0.19-0.37) ± 0.07,300.0
NaiveBayes,0.37 (0.28-0.40) ± 0.05,0.50 (0.49-0.50) ± 0.00,0.45 (0.40-0.51) ± 0.05,0.28 (0.24-0.30) ± 0.03,0.45 (0.40-0.51) ± 0.05,0.44 (0.40-0.47) ± 0.03,0.37 (0.28-0.40) ± 0.05,0.25 (0.21-0.31) ± 0.05,400.0
LogisticRegression,0.97 (0.96-0.97) ± 0.00,0.67 (0.65-0.70) ± 0.02,0.72 (0.67-0.76) ± 0.04,0.69 (0.66-0.73) ± 0.03,0.72 (0.67-0.76) ± 0.04,0.67 (0.60-0.73) ± 0.06,0.97 (0.96-0.97) ± 0.00,0.39 (0.30-0.48) ± 0.08,400.0
LightGBM,0.96 (0.95-0.96) ± 0.00,0.61 (0.59-0.62) ± 0.01,0.67 (0.61-0.74) ± 0.05,0.63 (0.60-0.66) ± 0.02,0.67 (0.61-0.74) ± 0.05,0.59 (0.49-0.71) ± 0.08,0.96 (0.95-0.96) ± 0.00,0.26 (0.21-0.33) ± 0.05,400.0
NaiveBayes,0.35 (0.28-0.39) ± 0.04,0.50 (0.49-0.50) ± 0.00,0.49 (0.45-0.53) ± 0.04,0.28 (0.24-0.29) ± 0.02,0.49 (0.45-0.53) ± 0.04,0.47 (0.44-0.51) ± 0.02,0.35 (0.28-0.39) ± 0.04,0.28 (0.23-0.32) ± 0.04,500.0
LogisticRegression,0.97 (0.96-0.97) ± 0.00,0.67 (0.66-0.69) ± 0.01,0.70 (0.67-0.74) ± 0.03,0.69 (0.66-0.71) ± 0.02,0.70 (0.67-0.74) ± 0.03,0.65 (0.60-0.70) ± 0.04,0.97 (0.96-0.97) ± 0.00,0.39 (0.31-0.48) ± 0.08,500.0
LightGBM,0.96 (0.95-0.97) ± 0.00,0.63 (0.60-0.66) ± 0.03,0.68 (0.61-0.75) ± 0.05,0.65 (0.60-0.69) ± 0.04,0.68 (0.61-0.75) ± 0.05,0.60 (0.49-0.72) ± 0.08,0.96 (0.95-0.97) ± 0.00,0.27 (0.22-0.30) ± 0.04,500.0
NaiveBayes,0.35 (0.33-0.38) ± 0.02,0.50 (0.50-0.51) ± 0.00,0.50 (0.46-0.56) ± 0.04,0.28 (0.26-0.29) ± 0.01,0.50 (0.46-0.56) ± 0.04,0.48 (0.44-0.51) ± 0.03,0.35 (0.33-0.38) ± 0.02,0.29 (0.24-0.35) ± 0.05,600.0
LogisticRegression,0.97 (0.97-0.97) ± 0.00,0.69 (0.67-0.70) ± 0.01,0.71 (0.67-0.74) ± 0.03,0.70 (0.67-0.71) ± 0.02,0.71 (0.67-0.74) ± 0.03,0.65 (0.60-0.70) ± 0.04,0.97 (0.97-0.97) ± 0.00,0.41 (0.31-0.51) ± 0.08,600.0
